nodenumber     x-coordinate     y-coordinate     z-coordinate       wall-shear     x-wall-shear     y-wall-shear     z-wall-shear 
       171  2.183320149E-03 -2.054911473E-03  1.466149638E-03  4.066726525E-01 -1.063215216E-03 -1.161032697E-03  4.066635938E-01 
       172 -2.167424782E-03 -2.058763602E-03  1.468389581E-03  4.133593485E-01 -6.278666452E-04  2.005297687E-03  4.133486883E-01 
       173 -1.651536424E-03 -2.501493334E-03  1.469528149E-03  4.087891817E-01 -6.720103963E-04  5.587799542E-04  4.087790761E-01 
       174  2.565813902E-03 -1.540724828E-03  1.469978522E-03  4.098465415E-01  3.236280875E-03  1.456830924E-03  4.097929251E-01 
       175  2.989447020E-03  3.256236544E-05  1.483130645E-03  4.088836481E-01 -1.187639074E-03  5.236159152E-03  4.087234243E-01 
       176  2.969140194E-03 -3.465401695E-04  1.516017509E-03  4.075767748E-01 -4.695833466E-03  6.607930175E-03  4.073149377E-01 
       177 -1.062193683E-03  2.794436349E-03  1.516667557E-03  4.076320749E-01 -2.525339459E-03  1.881550992E-03  4.074363811E-01 
       178 -9.739400611E-04 -2.825826779E-03  1.518740130E-03  4.072738379E-01 -1.435768936E-03  1.320752909E-03  4.071832071E-01 
       179  2.349172793E-04 -2.980737828E-03  1.520033193E-03  4.016219864E-01  5.799641444E-05 -1.013417111E-03  4.015665577E-01 
       180  2.949465653E-03  4.996012985E-04  1.568512037E-03  4.040964973E-01 -3.155728755E-03  4.605851401E-03  4.039476824E-01 
       181  1.764511788E-03  2.413989182E-03  1.573184088E-03  4.004868369E-01 -1.756777167E-03  5.083363338E-04  4.004769197E-01 
       182 -5.999000953E-04  2.928066393E-03  1.584967689E-03  4.045796456E-01  6.401798040E-04  1.158404680E-03  4.043672841E-01 
       183 -2.502074360E-03  1.651212532E-03  1.589980320E-03  3.903895279E-01  3.107821825E-03  2.694196279E-03  3.903404105E-01 
       184  2.298026194E-03  1.914695115E-03  1.590527729E-03  3.997661080E-01 -6.324239786E-04  1.335957075E-04  3.997445433E-01 
       185 -2.873300927E-03 -8.540719557E-04  1.594249324E-03  3.917899847E-01 -5.568332284E-04  3.096864781E-03  3.916856131E-01 
       186  2.832669631E-03  9.678870303E-04  1.594788150E-03  3.984681663E-01 -2.412293263E-03  5.258667291E-03  3.983435577E-01 
       187  1.070465616E-03  2.795061483E-03  1.595129685E-03  3.953064292E-01  1.517348375E-03 -2.899181131E-04  3.952273306E-01 
       188 -2.129551273E-04  2.982967042E-03  1.620578604E-03  3.935112112E-01  1.472342784E-03 -1.900286593E-03  3.934092718E-01 
       189 -2.976985834E-03  2.898347515E-04  1.629247147E-03  3.926595887E-01  1.759140671E-03  4.769439311E-03  3.925460345E-01 
       190  2.559420469E-03  1.544179394E-03  1.632061678E-03  3.941176656E-01 -4.589199818E-04  1.295056961E-03  3.940390736E-01 
       191  6.355318133E-04 -2.918950220E-03  1.634016830E-03  3.870283232E-01 -2.984022807E-03  1.228429826E-03  3.868706502E-01 
       192 -2.726090561E-03 -1.229774772E-03  1.638546664E-03  3.870432845E-01 -2.228326342E-03  4.017737077E-03  3.869153468E-01 
       193  1.415762492E-03 -2.639662630E-03  1.690259298E-03  3.771761872E-01 -2.947967484E-03 -4.806489380E-04  3.770494942E-01 
       194 -2.412712689E-03 -1.777541126E-03  1.697037181E-03  3.758916194E-01 -1.398037195E-03  3.176403782E-03  3.758686781E-01 
       195  1.049950292E-03 -2.798599615E-03  1.697247228E-03  3.786577687E-01 -3.437440494E-03  5.420855216E-04  3.785040903E-01 
       196  2.009666061E-04  2.989519261E-03  1.700168810E-03  3.812266231E-01 -1.439427430E-03 -8.070135361E-04  3.811318820E-01 
       197  1.942314121E-03 -2.272696126E-03  1.702680311E-03  3.759774099E-01 -1.207746055E-03 -3.043751170E-04  3.759702656E-01 
       198  6.232595740E-04  2.930934092E-03  1.707990370E-03  3.822395443E-01  1.284430960E-04 -1.599446931E-03  3.821433147E-01 
